Datacleaned,,,,,,
,Title,Abstract,source&dates,source,dates,Url
50,沈阳：农大一大三学生旅店内自杀,昨日，沈阳市沈河区东陵路126号一家“浪漫旅吧”旅馆内发现一名男子尸体。 　　17时许，旅馆楼下停着警车和殡葬车。从楼下可以看到，该旅馆二楼楼梯旁，几名民警正在现场勘察。 　　据旁边一家饭店人员介,东北新闻网    2015-05-19,东北新闻网,2015-05-19,https://www.ringdata.com/news/detail?id=20150519388ec52cb97c435131c096504587b3a7
51,武汉一大三学生在寝室烧炭自杀,据《楚天都市报》消息 湖北武汉一所职业技术学院物流专业的大三学生晓茗，19日被发现在寝室烧炭自杀。 　　吴先生的女儿晓茗(化名)生前就读于位于江夏区的一所职业技术学院，是物流专业的大三学生。4天前,滁州网    2009-12-22,滁州网,2009-12-22,https://www.ringdata.com/news/detail?id=200912223d0cc9ea0a00077e740ff8437fd6f38a
52,大学生QQ相约自杀,据新华社杭州12月3日电　 浙江省丽水市莲都区人民法院3日对一起大学生利用腾讯QQ网络相约自杀的民事赔偿纠纷作出一审判决，腾讯被判承担一次性赔偿原告死亡赔偿金、丧葬费、交通费的10%计50612.,大河网    2010-12-04,大河网,2010-12-04,https://www.ringdata.com/news/detail?id=20101204479b3c7822527603b7e25da66469bf97
53,女大学生跳楼自杀,常亚男留下的遗书。     据《中国青年报》报道6月27日下午，常亚男的遗体在河北省保定市的一家殡仪馆火化。一同被火化的，还有她网购的部分护肤品。年仅20岁的常亚男，是中国地质大学长城学院外语系大三学,贵州都市报    2013-07-02,贵州都市报,2013-07-02,https://www.ringdata.com/news/detail?id=201307022e331705a772423f10f221ecefb3270e
54,研究生跳楼自杀：父母请别再教孩子听话,近日，一则研究生自杀的新闻在朋友圈刷屏。武汉理工大学在读研究生陶崇园因不堪精神压力，在其母眼前跳楼自杀。 　　这则新闻不禁让人想起2017年底西安交通大学在读博士杨宝德溺亡事件。岁岁年年人不同，年,东北新闻网    2018-04-05,东北新闻网,2018-04-05,https://www.ringdata.com/news/detail?id=20180405de2b4d48d01c9ab91d35a73235317869
55,研究生自杀呼唤完善师生关系调节制度,3月26日，武汉某高校硕士研究生陶某从宿舍楼坠楼身亡。陶某家属晒出陶某与其导师王某的社交软件聊天记录，指称王某应对陶某的自杀负责。王某发表声明对此予以否认。该校宣传部表示，自杀事件发生后，学校高度,东北新闻网    2018-04-04,东北新闻网,2018-04-04,https://www.ringdata.com/news/detail?id=20180404a694b1e0e088687e82add28bbfbe9162
57,上海研究生跳楼自杀 莫让房子再成凶手,房子啊房子!莫要再成为杀人凶手 　　近日惊闻噩耗，一原上海财经大学法学硕士研究生，现任某公司法务的80后男子于2009年8月27日从吴淞路恒升半岛跳楼自杀，不治身亡。 　　据其同学介绍，刘在其公司,中国山东网    2009-12-11,中国山东网,2009-12-11,https://www.ringdata.com/news/detail?id=20091211eac1616b69bd9f3bffce0523e50ea059
58,台湾一研究生交不出论文题目烧炭自杀,,央广网    2013-05-07,央广网,2013-05-07,https://www.ringdata.com/news/detail?id=20130507efc11f58846daa7a93e880657b95d568
62,中国石油大学研究生坠楼：意外还是自杀？,原标题：世界还未展开 就已坠落 　　今年2月，中国石油大学研三学生刘亚磊在北京得到一份有户口和编制的工作，他和女友也打算年底结婚。然而，5月19日刘亚磊坠楼身亡，令即将到来的美好世界戛然而止,人民政协网    2015-07-05,人民政协网,2015-07-05,https://www.ringdata.com/news/detail?id=20150705b271d9d31c1b18c4d2ca8740e9689d5e
63,大学生宿舍烧炭自杀,7月15日凌晨，黑龙江八一农垦大学经管学院大三学生李某，通过定时发送工具连发18条微博作为遗言。15日下午，该生在学校宿舍内被发现，其时已经死亡。     从遗言来看，李某自杀的原因很可能是因,贵州都市报    2012-07-18,贵州都市报,2012-07-18,https://www.ringdata.com/news/detail?id=20120718083e9b82cf9312971febf891150de121
64,扬州一女大学生自杀,快报讯（见习记者 丁宇）11月21日下午5点左右，扬州职业大学一栋女生宿舍楼内，一名20岁左右的该校大三女生上吊身亡。目前事件正在进一步调查中。   昨天记者来到了该女生所住的宿舍楼。“自杀的,现代快报    2011-11-23,现代快报,2011-11-23,https://www.ringdata.com/news/detail?id=201111230f477324ad582a6dddc2abbea999faf1
65,大二学生留遗书失踪 列举24条自杀理由,3月14日晚上，一名在万里学院读书的学生，突然留下遗书不知去向，一下子急坏了学校老师。鄞州文华派出所民警获悉此事后，历经两个多小时的艰难寻找，终于在当晚11时许找到这名意欲轻生的学生。 　　据,中国新闻网    2013-03-18,中国新闻网,2013-03-18,https://www.ringdata.com/news/detail?id=20130318cc560ac20f22455bf965a10999b86de7
68,中青报：研究生自杀，板子不能只打任何一方,和谐的师生关系至少应该有三个方面：一是德行与学问俱佳的导师，二是真诚而好学的学生，三是缜密且有力制度保障。 3月26日，武汉某高校硕士研究生陶某跟母亲进行了一场有关导师的对话后，从宿舍楼,北方网    2018-04-03,北方网,2018-04-03,https://www.ringdata.com/news/detail?id=20180403da199efcd87eb7b6640f44897c54412b
69,武大研究生工作不顺挥剪自杀 放火烧文凭,前晚9时许，在天河区岑村火炉山，武汉大学毕业的研究生小徐因为工作原因，一时想不开选择在平安夜结束生命，在拿剪刀向胸口捅了两刀却自杀未果的情况下，向路人呼救，最终被警察和医护人员救下。昨天上午，伤势,东北新闻网    2013-12-27,东北新闻网,2013-12-27,https://www.ringdata.com/news/detail?id=2013122791408a855c966c5f7d9799fc9e6a8421
70,中南大学研究生跳楼自杀 疑因论文未通过,原标题：28岁大学研究生跳楼自杀 5千字遗书揭导师的黑幕 　　疑似论文未通过认为导师为难自己，来自信阳的中南大学研三学生姜东身从图书馆6楼纵身跳下，结束了28岁的生命。他的逝去，在社会上引起,人民政协网    2015-05-26,人民政协网,2015-05-26,https://www.ringdata.com/news/detail?id=201505264453bee816a498c176ead0cd20d2076b
71,研究生校外自杀 母亲状告学校索赔近93万,,中国新闻网    2010-02-22,中国新闻网,2010-02-22,https://www.ringdata.com/news/detail?id=20100222d9377012233ed50fa12313c8344cab23
72,研究生怪相：导师帮忙过答辩 最怕学生自杀,,央广网    2013-08-26,央广网,2013-08-26,https://www.ringdata.com/news/detail?id=2013082680a7c0d5598a80cf85c33bd37a4cb6bf
73,研究生未找到工作回家种地 父亲服毒自杀,    ,央广网    2012-10-17,央广网,2012-10-17,https://www.ringdata.com/news/detail?id=201210173847aa7ea114f48dbcc83579185ae77c
74,同济研究生跳楼自杀：导师权力过大何时休,1月4日，微博名为“烫烫大卷”的网友，通过微博发布信息称，同济大学医学院硕士研究生陆经纬，常年被其导师压榨，365日无休，最终，于2018年12月13日跳楼身亡。(1月6日封面新闻) 　　距武汉理,多彩贵州网    2019-01-09,多彩贵州网,2019-01-09,https://www.ringdata.com/news/detail?id=20190109d95573b5d269fd047ec105949a3954a9
76,研究生毕业回家种地 老父亲愤而服毒自杀,专家教你培养高情商孩子 　　10月11日，优酷网拍客上传视频《研究生毕业回家种,长沙晚报网    2012-10-17,长沙晚报网,2012-10-17,https://www.ringdata.com/news/detail?id=201210177247a5ce029e84709138453926541dd0
77,研究生自杀，勿忘提供学生平等说“不”的空间,1月4日，微博网友@烫烫大卷发布信息称，同济大学医学院硕士研究生陆经纬，常年被导师压榨，365日无休，最终于2018年12月13日跳楼身亡。(1月7日封面新闻) 　　近年来，象牙塔内并不风平浪静，,多彩贵州网    2019-01-09,多彩贵州网,2019-01-09,https://www.ringdata.com/news/detail?id=201901098dfbe962cdbfcc4cc6dafb82ca48ae9a
78,研究生疑因毕业论文自杀 尚未与女友完婚,,人民网    2015-07-08,人民网,2015-07-08,https://www.ringdata.com/news/detail?id=20150708922fb5f2aac77011d3e43df54fa564dd
80,研究生自杀反思：教育的目的到底是什么？,,央广网    2010-03-17,央广网,2010-03-17,https://www.ringdata.com/news/detail?id=2010031745e858c3ea9d8f73f91be77dafbbffde
81,研究生疑因论文涉嫌抄袭跳武汉东湖自杀,,中国新闻网    2009-03-22,中国新闻网,2009-03-22,https://www.ringdata.com/news/detail?id=20090322e3601b8806e09398676426ae8a6e2ee5
82,武大研究生工作不顺挥剪自杀放火烧文凭,前晚9时许，在天河区岑村火炉山，武汉大学毕业的研究生小徐因为工作原因，一时想不开选择在平安夜结束生命，在拿剪刀向胸口捅了两刀却自杀未果的情况下，向路人呼救，最终被警察和医护人员救下。昨天上午，伤势,多彩贵州网    2013-12-27,多彩贵州网,2013-12-27,https://www.ringdata.com/news/detail?id=201312270d818c22176873fee3ca86c676d23e7c
83,黑龙江一大三学生卫生间内烧炭自杀,#法晚深度即时#（实习记者张明明）近日，黑龙江齐齐哈尔大大学一大三在校生梁某，在自己居住寝室内的卫生间死亡，经警方认定，梁某某为自杀身亡。警方查阅其手机时发现，该名学生生前曾加入若干谈论自杀死亡的,黑龙江新闻网    2020-01-01,黑龙江新闻网,2020-01-01,https://www.ringdata.com/news/detail?id=2020010115f336952a20f6824e78f5ac268c8654
84,博士生疑因压力大自杀 书桌留有“死”字纸条,,央广网    2014-04-09,央广网,2014-04-09,https://www.ringdata.com/news/detail?id=2014040917a377568e196ae877d7603ca3450796
88,女大学生陷“校园贷”自杀,近日，福建省厦门市华夏学院一名大二女生因“校园贷”而自杀身亡，此事上网后引发舆论热议。非法“校园贷”屡禁不止，近两年来“校园贷”引发的自杀事件时有发生，如何才能不让类似的悲剧重演？   20岁花,中国常州网    2017-04-22,中国常州网,2017-04-22,https://www.ringdata.com/news/detail?id=20170422de54944ddbd67790b287818efe2b6feb
89,三亚一大学生 跳楼自杀,本报三亚11月20日电（记者苏桂除 通讯员罗佳）从三亚警方获悉，11月19日中午13时许，琼州大学三亚校区一宿舍区内发生一起学生跳楼自杀事件。 　　据悉，19日中午13时22分，三亚市公安局河东分,海口日报    2012-11-21,海口日报,2012-11-21,https://www.ringdata.com/news/detail?id=20121121c07f8bd96c65875073489f3753632e11
90,上海女研究生宿舍内自杀身亡 网贴揭内幕(图),上海海事大学2009级法学系研究生 　　单亲与母亲一起生活 　　弟弟系北京大学环境学院在读博士 　　●1979年11月出生于湖北宜昌市 　　●2002年7月毕业于武汉大学商学院经济学专业 　　●2,中国山东网    2009-12-10,中国山东网,2009-12-10,https://www.ringdata.com/news/detail?id=2009121097f1b9b219553b6bc6fef8254023a316
91,24岁女研究生与网友相约自杀留遗书称自愿,7月4日，望城区金源旅馆门口，李娟(化名)的姑姑正拿着她的照片低头痛哭。 　　都是如花似玉的年纪，24岁的女研究生，17岁的大男孩，原本是无忧无虑的青春，却相约在旅馆烧炭自杀。一纸遗书，轻描淡写地,多彩贵州网    2015-07-06,多彩贵州网,2015-07-06,https://www.ringdata.com/news/detail?id=20150706f7279c9cfecd8c1d3a6acdd67709a9a0
92,【台州日报】大学生建自杀群宣传集体自杀,7月24日上午，百度贴吧出现一条紧急求救帖引起不少网友关注，一位名叫“水稚诗”的网友发帖说，她发现了一个QQ群，群主不断发消息说要找人一起自杀。群里已经聚集了一批“响应”的网友，而她和几名热心的网,浙江在线网    2012-07-26,浙江在线网,2012-07-26,https://www.ringdata.com/news/detail?id=20120726871cf59880b731e562f10dcd3f5bfce8
93,24岁女研究生与网友相约自杀 留遗书称自愿,7月4日，望城区金源旅馆门口，李娟(化名)的姑姑正拿着她的照片低头痛哭。图/潇湘晨报记者谢长贵实习生陈日雯 　　都是如花似玉的年纪，24岁的女研究生，17岁的大男孩，原本是无忧无虑的青春，却相约在,安徽广播电视台网    2015-07-06,安徽广播电视台网,2015-07-06,https://www.ringdata.com/news/detail?id=20150706973764c8e116d4b255ee81c3523e0295
94,贫困女研究生自杀续:其弟否认索要35万赔偿,,中国新闻网    2009-12-17,中国新闻网,2009-12-17,https://www.ringdata.com/news/detail?id=200912178979f5e364f89e49b49bbc9a7764ed3d
95,研究生自杀:板子不能只打任何一方 - 舆情速递,和谐的师生关系至少应该有三个方面：一是德行与学问俱佳的导师，二是真诚而好学的学生，三是缜密且有力制度保障。 　　---------------------------------- 　　3月26日,中青在线网    2018-04-03,中青在线网,2018-04-03,https://www.ringdata.com/news/detail?id=2018040361b0f62609e26717b7d5ecb2591c32e4
96,女研究生与17岁网友相约宾馆自杀 男方获救,都是如花似玉的年纪，24岁的女研究生，17岁的大男孩，原本是无忧无虑的青春，却相约在旅馆烧炭自杀。一纸遗书，轻描淡写地表示“自愿”，这自愿背后有多少是生命无法承受之重，仍亟待解答。 　　7月3日凌,安徽广播电视台网    2015-07-05,安徽广播电视台网,2015-07-05,https://www.ringdata.com/news/detail?id=20150705f8ad063b2893acc0a412085d07875c12
97,研究生小伙求职受挫自杀 称“没能力照顾父母”,“我走了，你照顾好咱爸妈，我没能力” 收到哥哥的短信，弟弟立即赶来，还是晚了 昨日上午，在花园北路城中村邵庄，一名刚刚研究生毕业的小伙疑似因求职屡屡受挫跳楼自杀。 据目击者王先生称，事发时间,东南网    2014-12-09,东南网,2014-12-09,https://www.ringdata.com/news/detail?id=20141209350d4ead4d5cbcf86ebb4e5f520f7d3f
101,研究生刚毕业却想自杀 “心灵感冒”应及时就诊,内容提要：“研究生读了三年，我却与抑郁症这头恶兽纠缠了两年多。”头顶学位帽，身着学位袍，这个值得一生荣耀的时刻即将到来，但徐彬（化名）的脸上却是一种难言的痛苦表情。徐彬最害怕看到有关自杀的报道，尤其当,北方网    2016-06-21,北方网,2016-06-21,https://www.ringdata.com/news/detail?id=201606217a1ceb24b2a1a581f3f57d7f38acf06f
102,博士研究生宿舍服毒自杀 曾称压力无处不在,,人民网    2014-06-30,人民网,2014-06-30,https://www.ringdata.com/news/detail?id=201406300b27376d8d062d9e3105e39c2a720198
104,未能解决户口研究生校外自杀 亲属索赔92.6万,,中国新闻网    2010-02-21,中国新闻网,2010-02-21,https://www.ringdata.com/news/detail?id=2010022184b6803b2a06e0b0904d5c7981615e6e
